index,source_id,title,url,source_type,evidence_grade,notes
0,S01,Coefficient Giving - About Us,https://coefficientgiving.org/about-us/,official org page,B,Good Ventures is described as Coefficient's founding and most significant partnership; Coefficient serves as outsourced foundation staff.
1,S02,Coefficient Giving - We're urgently scaling our work on AI and biosecurity,https://coefficientgiving.org/research/were-urgently-scaling-our-work-on-ai-and-biosecurity/,official org page,B,"AI safety/security/field-building commitments: $168m (2024), $351m (2025), >$1bn projected (2026); describes an outsized ecosystem role and institution-building."
2,S03,Coefficient Giving - Navigating Transformative AI,https://coefficientgiving.org/funds/navigating-transformative-ai/,official strategy page,B,"Strategy includes visibility/evaluations, safeguards, and talent/institutional capacity."
3,S04,Good Ventures - Pattern Labs: Technological Risk Mitigation,https://www.goodventures.org/our-portfolio/grants/pattern-labs-technological-risk-mitigation/,official grant record,A,"$6.8m grant, awarded 02/2024, recommended by Open Philanthropy; Pattern Labs later became Irregular."
4,S05,Good Ventures - Grants database (historical),https://www.goodventures.org/our-portfolio/grants-database/page/109/?limit=all,official grant database,A,"Includes Apollo Research startup funding $1.53548m (2023), Redwood Research $10.7m (2022) and $5.3m (2023), among other records."
5,S06,Good Ventures - Grants database (2024 page),https://www.goodventures.org/our-portfolio/grants-database/page/17/?limit=10000,official grant database,A,Includes Apollo Research general support $2.1787m (2024).
6,S07,ProPublica Nonprofit Explorer - Good Ventures Foundation,https://projects.propublica.org/nonprofits/organizations/461008520,IRS-derived filing database,A,FY2025 assets about $10.108bn and net assets about $9.932bn; public summary does not establish the donated Anthropic stake is held by this legal entity.
7,S08,Forbes - Inside a billionaire couple's plan to give away their fortune,https://www.forbes.com/sites/phoebeliu/2025/11/07/cari-tuna-billionaire-open-philanthropy-facebook/,secondary journalism,C,Reports Anthropic stake was moved into a nonprofit vehicle; does not identify Good Ventures Foundation as the holder.
8,S09,Forbes - Reranking the world's billionaires by wealth and altruism,https://www.forbes.com/sites/mattdurot/2026/04/20/reranking-the-worlds-billionaires-by-wealth--and-altruism/,secondary journalism,C,Reports donated early Anthropic investment and estimated stake below 0.8%; ownership destination remains unresolved publicly.
9,S10,MATS - Transparency,https://www.matsprogram.org/transparency,official transparency page,A,2025 itemized cash donations used for donor-share and HHI calculations.
10,S11,MATS - Alumni: Marius Hobbhahn,https://www.matsprogram.org/alumni/marius-hobbhahn,official bio,B,MATS alumnus; later CEO/director of Apollo Research.
11,S12,MATS - Alumni: Joseph Bloom,https://www.matsprogram.org/alumni/joseph-bloom,official bio,B,MATS alumnus; later Head of Model Transparency at UK AISI.
12,S13,MATS - Alumni: Quentin Feuillade-Montixi,https://www.matsprogram.org/alumni/quentin-feuillade-montixi,official bio,B,"After MATS, worked as METR contractor on pre-release model evaluation."
13,S14,MATS - Summer 2026 Program,https://www.matsprogram.org/program/summer-2026,official program page,B,"Post-program pathways explicitly include frontier labs, evaluators, AI-safety funders, and new alignment organizations."
14,S15,Future of Life Institute - Finances,https://futureoflife.org/about-us/finances/,audited/official financial disclosure,A,2025 total expenditures $46.192m; grants $26.724m; media and outreach $5.795m.
15,S16,Future of Life Institute - Digital Media Accelerator,https://futureoflife.org/project/digital-media-accelerator/,official program page,B,Supports creators raising awareness/understanding of AI safety/risk; states plan to spend up to $100k/month across projects.
16,S17,Future of Life Institute - Multistakeholder Engagement grants,https://futureoflife.org/grant-program/multistakeholder-engagement-for-safe-and-prosperous-ai/,official grant program,B,"Up to $5m program for public/stakeholder education, outreach, grassroots organization and movement-building."
17,S18,Future of Life Institute - Protect What's Human campaign,https://futureoflife.org/press-release/fli-launches-multimillion-dollar-nationwide-ai-regulation-campaign/,official press release,B,Campaign announced as potentially spending up to $8m on AI-regulation advocacy.
18,S19,Tarbell Center - Ethics and Standards,https://www.tarbellcenter.org/ethics-and-standards,official policy page,B,Says majority of 2025 funding originated with Coefficient; also states donors have no editorial or personnel approval rights.
19,S20,Tarbell Center - Fellowship,https://www.tarbellcenter.org/fellowship,official program page,B,"Nine-month newsroom placement, AI journalism training, Bay Area summit, and stipends."
20,S21,Tarbell Center - Kai Williams,https://www.tarbellcenter.org/team/kai-williams,official bio,B,Illustrative overlap: prior MATS AI-safety research experience and later Tarbell journalism fellowship.
21,S22,METR - Funding Update (Aug 2026),https://metr.org/blog/2026-08-14-funding-update/,official funding disclosure,B,Reports roughly $71m in commitments over prior six months from multiple donors.
22,S23,OpenAI - Third-party cyber evaluations involving OpenAI models,https://openai.com/index/third-party-cyber-evaluations-involving-openai-models/,official incident disclosure,A,Irregular CTF environment was misconfigured to allow internet access; incident was not a sophisticated sandbox escape or zero-day.
23,S24,Anthropic - Investigating incidents in cybersecurity evaluations,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,official incident disclosure,A,Large retrospective review; incidents involved third-party evaluation environment and unintended internet access.
24,S25,Anthropic - Alignment assessment of cybersecurity incidents,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,official technical analysis,A,"Four incidents shared one evaluation partner; prompts lacked explicit scope boundaries; includes scope-reminder, realism, and safe-exit interventions."
25,S26,Anthropic - Improving alignment and security efforts,https://www.anthropic.com/news/improving-alignment-security-efforts,official practices update,A,"Recommends explicit in/out-of-scope targets, permitted actions, network boundaries, and real-time monitoring."
26,S27,Irregular - Addressing recent incidents,https://www.irregular.com/research/addressing-recent-incidents-ongoing-findings-and-path-forward,official postmortem,A,"States disclosures arose from same underlying issue, incidents were rare, and better implementation of existing safeguards could prevent most incidents of this kind."
27,S28,OpenAI - Hugging Face incident and the road ahead,https://openai.com/index/hugging-face-incident-and-the-road-ahead/,official incident disclosure,A,Separate incident involving containment circumvention; should not be conflated with Irregular misconfiguration events.
28,S29,OpenAI - Foundations for trustworthy third-party evaluations,https://openai.com/index/trustworthy-third-party-evaluations-foundations/,official methods page,A,"Evaluation results depend on model, environment and setup; supports provenance-aware evaluation practice."
29,S30,OpenAI - GPT-4o System Card,https://openai.com/index/gpt-4o-system-card/,official system card,A,Uses METR and Apollo Research as third-party evaluators.
30,S31,OpenAI - o1 System Card,https://openai.com/index/openai-o1-system-card/,official system card,A,Uses METR and Apollo Research among external evaluators.
31,S32,OpenAI - GPT-5.6 Deployment Safety,https://deploymentsafety.openai.com/gpt-5-6,official deployment safety report,A,"Uses METR, Apollo Research, UK AISI, and Irregular across frontier-risk evaluations."
32,S33,OpenAI - GPT-6 Astra Deployment Safety,https://deploymentsafety.openai.com/gpt-6-astra,official deployment safety report,A,"Uses Apollo Research, UK AISI, and Irregular; Irregular cyber work described as sandboxed without public internet."
33,S34,Apollo Research - About,https://www.apolloresearch.ai/about,official org page,B,Says it ran evaluations for all major labs in 2025 and increasingly engages in research-agenda/policy work.
34,S35,"Apollo Research - Norms, conflicts of interest, security, science and communication",https://www.apolloresearch.ai/blog/our-norms-coi-security-science-communication,official policy page,B,COI rules include no outcome-contingent compensation and recusal for relevant financial interests.
